Surname,Count,
dhanuka,128,
ashipha,128,
devanatha,128,
alimuddina,128,
kuresha,128,
anajara,128,
rajesha,128,
aloka,127,
nuniya,127,
sarasvati,127,
mamju,127,
svaraja,127,
dhamgara,126,
kujura,126,
babita,126,
mushtaka,126,
joshi,126,
saroja,126,
amguri,126,
nishaॉ,125,
neyaja,125,
namdani,125,
bajaja,125,
rai,125,
muktara,125,
majaluma,124,
najara,124,
kora,124,
marayama,124,
sikamdara,124,
mainudina,124,
shukala,123,
hayata,123,
kalimuddina,123,
jummana,123,
bhuimya,123,
sabana,123,
ahada,123,
kaipha,123,
tajamula,122,
kumar,122,
kaphila,122,
satyama,122,
kola,122,
taja,122,
sabila,122,
shahabaja,122,
gumjana,122,
mustakina,122,
shadaba,121,
asharafa,121,
jinata,121,
rajani,121,
imamuddina,121,
ramajani,121,
samiullaha,121,
ashisha,120,
kadari,120,
ahamadi,120,
nizama,120,
mahadevi,120,
aziza,119,
kejarivala,119,
phaiyaza,119,
malli,119,
imamudina,119,
anupriya,119,
saraphuddina,119,
azima,119,
mathura,119,
jabeda,119,
chamdana,118,
shivama,118,
ajameri,118,
amita,118,
sarapha,118,
naiyara,118,
ikavala,118,
gom.da,118,
hina,118,
akamksha,118,
hajari,118,
raunaka,118,
gulanaja,117,
paudvara,117,
rafika,117,
mo,117,
karana,117,
badaruddina,117,
mahatha,117,
hazara,117,
sakima,116,
shahabaza,116,
devim,116,
ravina,116,
kavita,116,
mujahida,116,
pajiyara,115,
bashira,115,
sabarina,115,
ekhalaka,115,
nandana,115,
priyadarshini,115,
mamula,115,
omaprakasha,115,
shreya,115,
sakiba,115,
yadaba,115,
thathera,114,
divya,114,
naiya,114,
najamudina,114,
vi,114,
sogara,114,
jahura,114,
phahima,114,
satyanarayana,113,
khatana,113,
gami,113,
domani,113,
telara,113,
chunni,113,
tuphaila,112,
avasthi,112,
kalamudina,112,
nurasaba,112,
sudha,112,
samjaya,112,
javira,112,
monika,112,
chopala,112,
saim,111,
sami,111,
sabanama,111,
suhaila,111,
teli,111,
nurula,110,
maimuna,110,
zaphara,110,
kuo,110,
rimki,110,
mira,110,
gulazara,110,
rajika,110,
sanovara,110,
sahima,109,
najarana,109,
poddhara,109,
talima,109,
pharamana,109,
soharava,109,
mehanaja,109,
rahila,109,
naimudina,108,
kamarujjama,108,
nikhata,108,
huda,108,
hasanena,108,
divana,108,
goyala,108,
nanda,108,
samha,108,
nasiruddina,108,
adhikari,108,
gopala,108,
najarina,108,
jalaludina,108,
nargisa,108,
akabari,108,
vajapeyi,107,
musmata,107,
koreshi,107,
hena,107,
kamarudina,107,
savita,107,
sakshi,107,
mostakima,107,
0,107,
khairuna,107,
saukata,106,
mamjari,106,
shyama,106,
khurashida,106,
kasera,106,
manasura,106,
sadadama,105,
anuradha,105,
asada,105,
barmana,105,
snehalata,105,
amju,105,
tajuddina,105,
samashada,105,
patavari,105,
tamoli,105,
istiyaka,104,
sapana,104,
himamshu,104,
yusufa,104,
salamata,104,
samasera,104,
jiyaula,104,
asima,104,
sarama,103,
muratuja,103,
namda,103,
kumri,103,
sauda,103,
nabi,103,
auramgajeba,102,
minahaja,102,
saipha,102,
ayasha,102,
subahana,102,
shava,102,
dhami,102,
musamata,102,
beladara,101,
ataullaha,101,
sveta,101,
kulsuma,101,
pamariya,101,
garga,101,
shamasuddina,101,
nirmala,101,
kalu,101,
ramjita,101,
najamuddina,100,
vati,100,
mo0,100,
vikrama,100,
nilophara,100,
nishata,100,
mimja,100,
sahadata,100,
meharuna,100,
saphina,100,
safi,100,
maheto,100,
rubeda,100,
mazida,100,
kudusha,100,
kalimudina,100,
bisvasa,99,
upadhya,99,
gita,99,
budhani,99,
tauphika,99,
nuresha,99,
jannata,99,
idrisha,98,
naimuddina,98,
bhogata,98,
gayasuddina,98,
varika,98,
rajina,98,
jainudina,97,
abujara,97,
aruna,97,
rupama,97,
babara,97,
pa,97,
rojida,97,
smita,97,
bamka,97,
nimsha,97,
rabidasa,97,
toppo,96,
kubara,96,
sayara,96,
sahanavaja,96,
