Surname,Count
hasanena,179
isupha,179
shamashula,179
kalamudina,179
habibullaha,179
mahata,178
nehala,178
sirajula,178
gayasudina,178
hai,178
akabala,178
asamri,178
rahula,178
aktara,177
sahajada,177
rahi,177
roshana,177
divakara,177
phakaruddina,176
imatiyaja,176
gahalauta,175
tabaraka,175
vinoda,174
pasabana,174
jalana,174
khakhara,174
vajida,174
farida,173
abedina,173
pasa,173
anasara,173
serajuddina,173
saiphi,172
koraishi,172
paravina,172
rajakishora,171
bano,171
avedina,171
navijana,171
nadima,171
vega,170
asima,169
ayyuba,169
ayuva,169
vishvanatha,168
badarula,168
vasaki,168
mojiva,168
mahati,168
kayamuddina,167
bajaja,167
kadari,166
kaisha,166
vilasa,166
imteyaja,166
navi,166
kejarivala,166
ataullaha,166
hasamuddina,166
ekhalaka,165
juhi,165
taphejula,165
aiyuba,165
dinesha,164
hakimudina,164
priyadarshi,164
gyasa,164
baduda,163
vajapeyi,163
tato,163
sadama,163
jabara,163
chotu,162
ku,162
danisha,162
gaphaphara,161
karaka,161
mobaraka,161
nabi,161
mujahida,161
mohali,161
pamda,161
daphali,161
ajaya,161
raphiqa,160
husaini,160
afazala,160
jaisavala,159
vishvasha,159
kailu,159
abubakara,159
inusa,159
hasibula,159
nasara,158
ajijula,158
masuda,158
babujana,157
mahiudina,157
nejamudina,156
riyajudina,156
shahadata,156
bahava,156
pahadi,156
riyajuddina,156
saurabha,156
mani,155
pamndeya,155
raisuddina,155
taiyava,155
madhukara,155
uravam,155
bosa,154
musatapha,154
haphijudina,154
vastava,154
chote,154
vasika,154
nesha,154
mujiba,153
yunusha,153
tayyaba,153
kajima,153
saukata,152
amara,152
reyajudina,151
kalifa,151
vasaphora,151
pharamuda,151
vihari,151
jamiruddina,151
baidha,151
bisvasa,150
saiphula,150
bakara,150
navaba,150
tamanna,150
sapera,149
tahera,149
muriyari,149
bhaskara,149
pajapati,149
atika,148
maya.n,148
re,148
bhula,148
naresha,148
ekavala,148
mira,147
rajana,147
kavari,147
asiruddina,147
sahebajana,147
umesha,147
tamijudina,146
phaiyaza,146
bhattacharya,146
koiri,146
anamula,146
rahimuddina,146
majebula,146
muratuza,146
ramavilasa,145
